Family,Group/Tag,Weight
Akaya Kanadaka,/Theme/Blobby,90
Akaya Telivigala,/Expressive/Artistic,42
Akaya Telivigala,/Expressive/Awkward,47
Akaya Telivigala,/Expressive/Childlike,40
Akaya Telivigala,/Expressive/Cute,60
Akaya Telivigala,/Expressive/Loud,48
Akaya Telivigala,/Expressive/Playful,14
Akaya Telivigala,/Indic/Sign Painting,100
Akaya Telivigala,/Sans/Humanist,50
Akaya Telivigala,/Sans/Rounded,50
Akaya Telivigala,/Script/Upright Script,50
Akaya Telivigala,/Theme/Blobby,90
Akronim,/Expressive/Artistic,50
Akronim,/Expressive/Excited,60
Akronim,/Expressive/Innovative,97
Akronim,/Theme/Shaded,50
Akshar,/Expressive/Calm,99
Akshar,/Expressive/Competent,68
Akshar,/Indic/Low contrast,100
Akshar,/Sans/Geometric,20
Akshar,/Sans/Humanist,50
Aladin,/Expressive/Artistic,14
Aladin,/Expressive/Awkward,46
Aladin,/Expressive/Happy,19
Aladin,/Expressive/Loud,25
Aladin,/Expressive/Playful,34
Aladin,/Expressive/Vintage,39
Aladin,/Theme/Art Nouveau,70
Alata,/Expressive/Calm,98
Alata,/Sans/Geometric,80
Alatsi,/Expressive/Business,38
Alatsi,/Expressive/Calm,99
Alatsi,/Sans/Geometric,70
Alatsi,/Sans/Humanist,20
Albert Sans,/Expressive/Calm,97
Albert Sans,/Expressive/Vintage,14
Albert Sans,/Sans/Geometric,60
Aldrich,/Expressive/Calm,98
Aldrich,/Expressive/Futuristic,98
Aldrich,/Expressive/Stiff,100
Aldrich,/Sans/Geometric,50
Aldrich,/Sans/Grotesque,10
Aldrich,/Sans/Superellipse,25
Aldrich,/Theme/Techno,10
Alef,/Expressive/Calm,97
Alef,/Sans/Humanist,50
Alegreya,/Expressive/Business,60
Alegreya,/Expressive/Loud,49
Alegreya,/Expressive/Sincere,99
Alegreya,/Expressive/Vintage,70
Alegreya Sans,/Expressive/Business,38
Alegreya Sans,/Expressive/Calm,93
Alegreya Sans,/Expressive/Vintage,48
Alegreya Sans,/Sans/Humanist,100
Alegreya Sans SC,/Expressive/Business,38
Alegreya Sans SC,/Expressive/Calm,97
Alegreya Sans SC,/Expressive/Vintage,48
Alegreya Sans SC,/Sans/Humanist,100
Alegreya SC,/Expressive/Business,60
Alegreya SC,/Expressive/Loud,49
Alegreya SC,/Expressive/Sincere,99
Alegreya SC,/Expressive/Vintage,70
Alegreya SC,/Serif/Humanist Venetian,100
Alegreya,/Serif/Humanist Venetian,100
Aleo,/Expressive/Business,56
Aleo,/Expressive/Sincere,98
Aleo,/Slab/Humanist,100
Alexandria,/Arabic/Kufi,100
Alexandria,/Expressive/Artistic,31
Alexandria,/Expressive/Calm,99
Alexandria,/Sans/Geometric,40
Alexandria,/Sans/Humanist,20
Alex Brush,/Expressive/Artistic,99
Alex Brush,/Expressive/Cute,11
Alex Brush,/Expressive/Fancy,76
Alex Brush,/Expressive/Loud,52
Alex Brush,/Expressive/Sophisticated,68
Alex Brush,/Script/Formal,70
Alfa Slab One,/Expressive/Business,80
Alfa Slab One,/Expressive/Loud,78
Alfa Slab One,/Expressive/Rugged,58
Alfa Slab One,/Expressive/Sincere,91
Alfa Slab One,/Slab/Geometric,50
Alfa Slab One,/Slab/Humanist,50
Alice,/Expressive/Business,30
Alice,/Expressive/Loud,19
Alice,/Expressive/Sincere,95
Alice,/Expressive/Vintage,29
Alice,/Serif/Old Style Garalde,70
Alike Angular,/Expressive/Playful,31
Alike Angular,/Expressive/Rugged,40
Alike Angular,/Expressive/Sincere,91
Alike Angular,/Expressive/Vintage,59
Alike Angular,/Serif/Old Style Garalde,70
Alike,/Expressive/Business,80
Alike,/Expressive/Loud,54
Alike,/Expressive/Sincere,100
Alike,/Serif/Old Style Garalde,70
Alkalami,/Arabic/West African,100
Alkalami,/Expressive/Loud,28
Alkalami,/Expressive/Sincere,99
Alkalami,/Expressive/Vintage,27
Alkatra,/Expressive/Active,51
Alkatra,/Expressive/Cute,13
Alkatra,/Expressive/Loud,55
Alkatra,/Script/Handwritten,50
Alkatra,/Script/Informal,70
Allan,/Expressive/Calm,57
Allan,/Expressive/Childlike,50
Allan,/Expressive/Cute,12
Allan,/Expressive/Playful,31
Allan,/Expressive/Vintage,16
Allan,/Script/Informal,70
Allerta,/Expressive/Calm,98
Allerta,/Expressive/Competent,38
Allerta Stencil,/Expressive/Calm,91
Allerta Stencil,/Expressive/Competent,49
Allerta Stencil,/Expressive/Innovative,11
Allerta Stencil,/Expressive/Loud,80
Allerta Stencil,/Theme/Stencil,100
Allison,/Expressive/Artistic,99
Allison,/Expressive/Childlike,38
Allison,/Expressive/Fancy,77
Allison,/Expressive/Rugged,42
Allison,/Expressive/Vintage,57
Allison,/Script/Formal,20
Allison,/Script/Handwritten,30
Allison,/Script/Informal,80
Allura,/Expressive/Artistic,99
Allura,/Expressive/Fancy,69
Allura,/Expressive/Sophisticated,65
Allura,/Expressive/Vintage,50
Allura,/Script/Formal,90
Almarai,/Arabic/Kufi,100
Almarai,/Expressive/Business,93
Almarai,/Expressive/Calm,99
Almarai,/Expressive/Competent,11
Almarai,/Expressive/Stiff,53
Almarai,/Sans/Neo Grotesque,100
Almendra Display,/Expressive/Artistic,29
Almendra Display,/Expressive/Sincere,91
Almendra Display,/Expressive/Vintage,100
Almendra Display,/Theme/Blackletter,100
Almendra,/Expressive/Artistic,29
Almendra,/Expressive/Sincere,91
Almendra,/Expressive/Vintage,100
Almendra SC,/Expressive/Artistic,29
Almendra SC,/Expressive/Loud,48
Almendra SC,/Expressive/Sincere,91
Almendra SC,/Serif/Humanist Venetian,80
Almendra,/Serif/Humanist Venetian,100
Alumni Sans Collegiate One,/Expressive/Calm,91
Alumni Sans Collegiate One,/Expressive/Competent,95
Alumni Sans Collegiate One,/Expressive/Futuristic,77
Alumni Sans Collegiate One,/Expressive/Innovative,93
Alumni Sans Collegiate One,/Expressive/Rugged,98
Alumni Sans Collegiate One,/Expressive/Stiff,20
Alumni Sans,/Expressive/Business,73
Alumni Sans,/Expressive/Calm,97
Alumni Sans,/Expressive/Competent,99
Alumni Sans Inline One,/Expressive/Calm,91
Alumni Sans Inline One,/Expressive/Competent,95
Alumni Sans Inline One,/Expressive/Futuristic,77
Alumni Sans Inline One,/Expressive/Innovative,93
Alumni Sans Inline One,/Expressive/Loud,10
Alumni Sans Inline One,/Expressive/Rugged,78
Alumni Sans Pinstripe,/Expressive/Calm,97
Alumni Sans Pinstripe,/Expressive/Competent,86
Alumni Sans Pinstripe,/Sans/Geometric,10
Alumni Sans Pinstripe,/Sans/Humanist,10
Alumni Sans,/Sans/Geometric,20
Alumni Sans,/Sans/Humanist,20
Amarante,/Expressive/Artistic,53
Amarante,/Expressive/Awkward,41
Amarante,/Expressive/Loud,45
Amarante,/Expressive/Sincere,91
Amarante,/Expressive/Vintage,59
Amarante,/Sans/Glyphic,30
Amarante,/Theme/Art Nouveau,100
Amaranth,/Expressive/Calm,96
Amaranth,/Expressive/Childlike,20
Amaranth,/Sans/Humanist,100
Amatic SC,/Expressive/Awkward,41
Amatic SC,/Expressive/Childlike,88
Amatic SC,/Expressive/Happy,33
Amatic SC,/Expressive/Innovative,27
Amatic SC,/Script/Handwritten,100
Amethysta,/Expressive/Business,76
Amethysta,/Expressive/Calm,96
Amethysta,/Expressive/Sincere,99
Amethysta,/Expressive/Vintage,47
Amethysta,/Serif/Old Style Garalde,70
Amethysta,/Serif/Transitional,20
Amiko,/Expressive/Calm,98
Amiko,/Expressive/Vintage,32
Amiko,/Sans/Humanist,100
Amiri,/Arabic/Naskh,100
Amiri,/Expressive/Business,71
Amiri,/Expressive/Calm,96
Amiri,/Expressive/Sincere,98
Amiri,/Expressive/Vintage,100
Amiri Quran,/Arabic/Naskh,100
Amiri Quran,/Expressive/Business,71
Amiri Quran,/Expressive/Calm,96
Amiri Quran,/Expressive/Sincere,96
Amiri Quran,/Expressive/Vintage,100
Amiri Quran,/Serif/Old Style Garalde,100
Amiri,/Serif/Old Style Garalde,100
Amita,/Expressive/Artistic,40
Amita,/Expressive/Cute,11
Amita,/Expressive/Happy,14
Amita,/Expressive/Loud,40
Amita,/Script/Informal,20
Amita,/Script/Upright Script,20
Anaheim,/Expressive/Calm,98
Anaheim,/Expressive/Stiff,30
Anaheim,/Sans/Humanist,100
Andada Pro,/Expressive/Business,39
Andada Pro,/Expressive/Calm,97
Andada Pro,/Expressive/Sincere,95
Andada Pro,/Slab/Humanist,100
Andika,/Expressive/Calm,95
Andika,/Expressive/Happy,3
Andika,/Sans/Humanist,100
Anek Bangla,/Expressive/Business,32
Anek Bangla,/Expressive/Calm,96
Anek Bangla,/Expressive/Competent,100
Anek Bangla,/Sans/Humanist,100
Anek Devanagari,/Expressive/Business,32
Anek Devanagari,/Expressive/Calm,96
Anek Devanagari,/Expressive/Competent,100
Anek Devanagari,/Sans/Humanist,100
Anek Gujarati,/Expressive/Business,32
Anek Gujarati,/Expressive/Calm,96
Anek Gujarati,/Expressive/Competent,100
Anek Gujarati,/Sans/Humanist,100
Anek Gurmukhi,/Expressive/Business,32
Anek Gurmukhi,/Expressive/Calm,96
Anek Gurmukhi,/Expressive/Competent,100
Anek Gurmukhi,/Sans/Humanist,100
Anek Kannada,/Expressive/Business,32
Anek Kannada,/Expressive/Calm,96
Anek Kannada,/Expressive/Competent,100
Anek Kannada,/Sans/Humanist,100
Anek Latin,/Expressive/Business,32
Anek Latin,/Expressive/Calm,96
Anek Latin,/Expressive/Competent,100
Anek Latin,/Sans/Humanist,100
Anek Malayalam,/Expressive/Business,32
Anek Malayalam,/Expressive/Calm,96
Anek Malayalam,/Expressive/Competent,100
Anek Malayalam,/Sans/Humanist,100
Anek Odia,/Expressive/Business,32
Anek Odia,/Expressive/Calm,96
Anek Odia,/Expressive/Competent,100
Anek Odia,/Sans/Humanist,100
Anek Tamil,/Expressive/Business,32
Anek Tamil,/Expressive/Calm,96
Anek Tamil,/Expressive/Competent,100
Anek Tamil,/Sans/Humanist,100
Anek Telugu,/Expressive/Business,32
Anek Telugu,/Expressive/Calm,96
Anek Telugu,/Expressive/Competent,100
Anek Telugu,/Sans/Humanist,100
Angkor,/Expressive/Business,27
Angkor,/Expressive/Calm,98
Angkor,/Expressive/Loud,59
Angkor,/Expressive/Rugged,38
Angkor,/Expressive/Sincere,91
Angkor,/Slab/Humanist,20
Angkor,"/South East Asian (Thai, Khmer, Lao)/Looped",100
Annie Use Your Telescope,/Expressive/Artistic,22
Annie Use Your Telescope,/Expressive/Awkward,55
Annie Use Your Telescope,/Expressive/Childlike,48
Annie Use Your Telescope,/Expressive/Playful,37
Annie Use Your Telescope,/Script/Handwritten,100
Anonymous Pro,/Expressive/Business,16
Anonymous Pro,/Expressive/Calm,98
Anonymous Pro,/Expressive/Sincere,45
Anonymous Pro,/Monospace/Monospace,100
Anonymous Pro,/Sans/Geometric,20
Anonymous Pro,/Sans/Humanist,50
Antic Didone,/Expressive/Calm,95
Antic Didone,/Expressive/Sincere,96
Antic Didone,/Serif/Modern,70
Antic,/Expressive/Calm,97
Antic,/Expressive/Playful,11
Antic,/Sans/Humanist,100
Antic Slab,/Expressive/Calm,95
Antic Slab,/Expressive/Sincere,97
Antic Slab,/Slab/Geometric,70
Anton,/Expressive/Business,59
Anton,/Expressive/Calm,99
Anton,/Expressive/Competent,95
Anton,/Expressive/Rugged,78
Anton,/Expressive/Vintage,100
Antonio,/Expressive/Business,59
Antonio,/Expressive/Calm,99
Antonio,/Expressive/Competent,95
Antonio,/Expressive/Rugged,66
Antonio,/Expressive/Vintage,54
Antonio,/Sans/Grotesque,20
Antonio,/Sans/Humanist,60
Anton,/Sans/Grotesque,30
Anton,/Sans/Neo Grotesque,70
Anuphan,/Expressive/Business,50
Anuphan,/Expressive/Calm,98
Anuphan,/Expressive/Competent,31
Anuphan,/Sans/Geometric,60
Anuphan,"/South East Asian (Thai, Khmer, Lao)/Loopless",100
Anybody,/Expressive/Calm,98
Anybody,/Expressive/Competent,54
Anybody,/Expressive/Stiff,30
Anybody,/Expressive/Vintage,71
Anybody,/Sans/Superellipse,100
Aoboshi One,/Expressive/Artistic,11
Aoboshi One,/Expressive/Calm,88
Aoboshi One,/Expressive/Sincere,92
Aoboshi One,/Expressive/Vintage,100
Arapey,/Expressive/Loud,42
Arapey,/Expressive/Sincere,97
Arapey,/Expressive/Vintage,20
Arapey,/Serif/Modern,30
Arapey,/Serif/Transitional,60
Arbutus,/Expressive/Innovative,38
Arbutus,/Expressive/Playful,30
Arbutus,/Expressive/Vintage,100
Arbutus Slab,/Expressive/Business,36
Arbutus Slab,/Expressive/Sincere,99
Arbutus Slab,/Expressive/Vintage,100
Arbutus,/Slab/Humanist,50
Arbutus Slab,/Slab/Clarendon,50
Arbutus Slab,/Slab/Humanist,10
Arbutus,/Theme/Woodtype,100
Architects Daughter,/Expressive/Artistic,62
Architects Daughter,/Expressive/Awkward,71
Architects Daughter,/Expressive/Childlike,49
Architects Daughter,/Expressive/Cute,20
Architects Daughter,/Expressive/Playful,28
Archivo Black,/Expressive/Business,19
Archivo Black,/Expressive/Calm,99
Archivo Black,/Expressive/Competent,39
Archivo Black,/Expressive/Stiff,30
Archivo Black,/Sans/Grotesque,70
Archivo,/Expressive/Business,18
Archivo,/Expressive/Calm,99
Archivo,/Expressive/Competent,55
Archivo Narrow,/Expressive/Business,19
Archivo Narrow,/Expressive/Calm,99
Archivo Narrow,/Expressive/Competent,58
Archivo Narrow,/Sans/Grotesque,70
Archivo,/Sans/Grotesque,70
Aref Ruqaa,/Arabic/Ruqah,100
Aref Ruqaa,/Expressive/Artistic,40
Aref Ruqaa,/Expressive/Childlike,13
Aref Ruqaa,/Expressive/Playful,11
Aref Ruqaa,/Expressive/Sincere,50
Aref Ruqaa,/Expressive/Vintage,100
Aref Ruqaa Ink,/Arabic/Ruqah,100
Aref Ruqaa Ink,/Expressive/Artistic,32
Aref Ruqaa Ink,/Expressive/Childlike,13
Aref Ruqaa Ink,/Expressive/Playful,11
Aref Ruqaa Ink,/Expressive/Sincere,50
Aref Ruqaa Ink,/Expressive/Vintage,99
Aref Ruqaa Ink,/Serif/Humanist Venetian,60
Aref Ruqaa,/Serif/Humanist Venetian,60
Are You Serious,/Expressive/Artistic,38
Are You Serious,/Expressive/Awkward,35
Are You Serious,/Expressive/Innovative,54
Are You Serious,/Expressive/Playful,40
Are You Serious,/Expressive/Rugged,16
Are You Serious,/Theme/Wacky,40
Arima,/Expressive/Artistic,11
Arima,/Expressive/Calm,74
Arima,/Expressive/Cute,14
Arima,/Script/Upright Script,30
Arimo,/Expressive/Business,47
Arimo,/Expressive/Calm,98
Arizonia,/Expressive/Artistic,99
Arizonia,/Expressive/Fancy,47
Arizonia,/Expressive/Sophisticated,77
Arizonia,/Script/Informal,50
Armata,/Expressive/Calm,93
Armata,/Expressive/Futuristic,47
Armata,/Expressive/Stiff,58
Armata,/Sans/Geometric,10
Armata,/Sans/Humanist,50
Armata,/Sans/Superellipse,20
AR One Sans,/Expressive/Calm,97
AR One Sans,/Expressive/Competent,68
AR One Sans,/Sans/Geometric,30
AR One Sans,/Sans/Humanist,50
Arsenal,/Expressive/Business,37
Arsenal,/Expressive/Calm,96
Arsenal,/Expressive/Loud,38
Arsenal,/Expressive/Vintage,39
Arsenal,/Sans/Grotesque,50
Arsenal,/Sans/Humanist,50
Artifika,/Expressive/Artistic,32
Artifika,/Expressive/Childlike,23
Artifika,/Expressive/Sincere,56
Artifika,/Expressive/Vintage,99
Artifika,/Script/Upright Script,50
Arvo,/Expressive/Business,25
Arvo,/Expressive/Calm,99
Arvo,/Expressive/Happy,15
Arvo,/Expressive/Sincere,96
Arvo,/Expressive/Stiff,30
Arvo,/Expressive/Vintage,99
Arvo,/Slab/Geometric,100
Arya,/Expressive/Business,35
Arya,/Expressive/Calm,98
Arya,/Expressive/Loud,37
Arya,/Expressive/Vintage,54
Arya,/Indic/Contemporary,50
Arya,/Indic/Reverse-contrast,100
Arya,/Indic/Sign Painting,10
Arya,/Sans/Geometric,25
Arya,/Sans/Humanist,75
Asap Condensed,/Expressive/Business,58
Asap Condensed,/Expressive/Calm,95
Asap Condensed,/Expressive/Competent,99
Asap Condensed,/Expressive/Cute,12
Asap Condensed,/Indic/Sign Painting,40
Asap Condensed,/Indic/Traditional,50
Asap Condensed,/Sans/Humanist,75
Asap Condensed,/Sans/Rounded,80
Asap,/Expressive/Business,58
Asap,/Expressive/Calm,97
Asap,/Expressive/Competent,31
Asap,/Expressive/Cute,12
Asap,/Sans/Humanist,75
Asap,/Sans/Rounded,80
Asar,/Expressive/Business,30
Asar,/Expressive/Calm,99
Asar,/Expressive/Happy,3
Asar,/Expressive/Sincere,99
Asar,/Expressive/Vintage,54
Asar,/Serif/Humanist Venetian,60
Asset,/Expressive/Business,39
Asset,/Expressive/Calm,76
Asset,/Expressive/Loud,96
Asset,/Expressive/Playful,22
Asset,/Expressive/Rugged,49
Asset,/Expressive/Sincere,91
Asset,/Expressive/Vintage,99
Asset,/Serif/Fat Face,100
Assistant,/Expressive/Business,33
Assistant,/Expressive/Calm,98
Assistant,/Expressive/Stiff,41
Assistant,/Sans/Geometric,60
Assistant,/Sans/Humanist,30
Astloch,/Expressive/Artistic,33
Astloch,/Expressive/Calm,16
Astloch,/Expressive/Innovative,93
Astloch,/Expressive/Playful,58
Astloch,/Expressive/Vintage,99
Astloch,/Theme/Blackletter,100
Asul,/Expressive/Business,13
Asul,/Expressive/Calm,93
Asul,/Expressive/Happy,12
Asul,/Expressive/Loud,30
Asul,/Expressive/Sincere,93
Asul,/Expressive/Vintage,49
Asul,/Sans/Glyphic,100
Athiti,/Expressive/Awkward,11
Athiti,/Expressive/Calm,92
Athiti,/Expressive/Excited,11
Athiti,/Expressive/Futuristic,14
Athiti,/Expressive/Loud,10
Athiti,/Sans/Geometric,20
Athiti,/Sans/Humanist,70
Atkinson Hyperlegible,/Expressive/Calm,98
Atkinson Hyperlegible,/Expressive/Playful,31
Atkinson Hyperlegible,/Sans/Grotesque,70
Atma,/Expressive/Calm,35
Atma,/Expressive/Childlike,98
Atma,/Expressive/Cute,21
Atma,/Expressive/Excited,76
Atma,/Expressive/Playful,99
Atma,/Indic/Contemporary,60
Atma,/Indic/Sign Painting,10
Atma,/Theme/Wacky,100
Atomic Age,/Expressive/Artistic,51
Atomic Age,/Expressive/Awkward,91
Atomic Age,/Expressive/Calm,18
Atomic Age,/Expressive/Futuristic,87
Atomic Age,/Expressive/Stiff,97
Atomic Age,/Expressive/Vintage,99
Atomic Age,/Script/Upright Script,20
Aubrey,/Expressive/Artistic,33
Aubrey,/Expressive/Awkward,61
Aubrey,/Expressive/Calm,46
Aubrey,/Expressive/Excited,73
Aubrey,/Expressive/Innovative,72
Aubrey,/Expressive/Vintage,99
Aubrey,/Theme/Art Nouveau,100
Audiowide,/Expressive/Excited,31
Audiowide,/Expressive/Futuristic,100
Audiowide,/Expressive/Stiff,99
Audiowide,/Theme/Techno,100
Autour One,/Expressive/Awkward,11
Autour One,/Expressive/Childlike,72
Autour One,/Expressive/Cute,59
Autour One,/Expressive/Happy,31
Autour One,/Expressive/Playful,72
Autour One,/Expressive/Sincere,11
Autour One,/Script/Handwritten,100
Autour One,/Theme/Wacky,30
Average,/Expressive/Business,37
Average,/Expressive/Calm,96
Average,/Expressive/Sincere,98
Average,/Expressive/Vintage,99
Average Sans,/Expressive/Business,35
Average Sans,/Expressive/Calm,97
Average Sans,/Expressive/Vintage,52
Average Sans,/Sans/Geometric,50
Average Sans,/Sans/Humanist,50
Average,/Serif/Old Style Garalde,50
Average,/Serif/Transitional,50
Averia Gruesa Libre,/Expressive/Awkward,61
Averia Gruesa Libre,/Expressive/Childlike,30
Averia Gruesa Libre,/Expressive/Innovative,12
Averia Gruesa Libre,/Expressive/Playful,32
Averia Gruesa Libre,/Expressive/Vintage,52
Averia Libre,/Expressive/Awkward,61
Averia Libre,/Expressive/Childlike,30
Averia Libre,/Expressive/Innovative,12
Averia Libre,/Expressive/Playful,32
Averia Libre,/Expressive/Vintage,52
Averia Libre,/Sans/Rounded,100
Averia Libre,/Theme/Blobby,10
Averia Libre,/Theme/Distressed,5
Averia Sans Libre,/Expressive/Awkward,61
Averia Sans Libre,/Expressive/Calm,15
Averia Sans Libre,/Expressive/Childlike,30
Averia Sans Libre,/Expressive/Innovative,12
Averia Sans Libre,/Expressive/Playful,32
Averia Sans Libre,/Expressive/Vintage,40
Averia Sans Libre,/Sans/Rounded,100
Averia Sans Libre,/Theme/Blobby,10
Averia Serif Libre,/Expressive/Awkward,41
Averia Serif Libre,/Expressive/Calm,47
Averia Serif Libre,/Expressive/Childlike,23
Averia Serif Libre,/Expressive/Innovative,12
Averia Serif Libre,/Expressive/Playful,11
Averia Serif Libre,/Expressive/Sincere,20
Averia Serif Libre,/Expressive/Vintage,77
Azeret Mono,/Expressive/Calm,95
Azeret Mono,/Expressive/Stiff,30
Azeret Mono,/Monospace/Monospace,100
B612,/Expressive/Calm,94
B612,/Expressive/Competent,39
B612 Mono,/Expressive/Awkward,41
B612 Mono,/Expressive/Calm,93
B612 Mono,/Monospace/Monospace,100
B612 Mono,/Sans/Geometric,20
B612 Mono,/Sans/Humanist,20
B612,/Sans/Geometric,20
B612,/Sans/Humanist,20
Babylonica,/Expressive/Artistic,99
Babylonica,/Expressive/Fancy,73
Babylonica,/Expressive/Playful,71
Babylonica,/Expressive/Vintage,14
Babylonica,/Script/Informal,60
Babylonica,/Theme/Distressed,100
Bacasime Antique,/Expressive/Business,39
Bacasime Antique,/Expressive/Sincere,97
Bacasime Antique,/Expressive/Vintage,99
Bacasime Antique,/Serif/Transitional,100
Bad Script,/Expressive/Active,99
Bad Script,/Expressive/Artistic,31
Bad Script,/Expressive/Childlike,76
Bad Script,/Script/Handwritten,100
Bagel Fat One,/Expressive/Awkward,71
Bagel Fat One,/Expressive/Calm,54
Bagel Fat One,/Expressive/Childlike,40
Bagel Fat One,/Expressive/Cute,37
Bagel Fat One,/Expressive/Innovative,60
Bagel Fat One,/Expressive/Playful,97
Bagel Fat One,/Sans/Rounded,100
Bagel Fat One,/Theme/Blobby,80
Bahiana,/Expressive/Awkward,34
Bahiana,/Expressive/Futuristic,42
Bahiana,/Expressive/Innovative,65
Bahiana,/Expressive/Playful,49
Bahiana,/Expressive/Rugged,28
Bahiana,/Expressive/Stiff,42
Bahianita,/Expressive/Awkward,51
Bahianita,/Expressive/Futuristic,59
Bahianita,/Expressive/Innovative,65
Bahianita,/Expressive/Playful,49
Bahianita,/Expressive/Rugged,31
Bahianita,/Expressive/Stiff,51
Bai Jamjuree,/Expressive/Artistic,10
Bai Jamjuree,/Expressive/Business,42
Bai Jamjuree,/Expressive/Calm,75
Bai Jamjuree,/Expressive/Futuristic,62
Bai Jamjuree,/Expressive/Stiff,94
Bai Jamjuree,/Expressive/Vintage,99
Bai Jamjuree,/Sans/Superellipse,100
Bai Jamjuree,"/South East Asian (Thai, Khmer, Lao)/Looped",100
Bakbak One,/Expressive/Calm,58
Bakbak One,/Expressive/Futuristic,23
Bakbak One,/Expressive/Stiff,20
Bakbak One,/Sans/Geometric,30
Bakbak One,/Sans/Superellipse,70
Ballet,/Expressive/Artistic,100
Ballet,/Expressive/Fancy,100
Ballet,/Expressive/Loud,30
Ballet,/Expressive/Sophisticated,100
Ballet,/Script/Formal,100
Baloo 2,/Expressive/Calm,93
Baloo 2,/Sans/Rounded,100
Baloo Bhai 2,/Expressive/Calm,93
Baloo Bhai 2,/Sans/Rounded,100
Baloo Bhaijaan 2,/Expressive/Calm,93
Baloo Bhaijaan 2,/Sans/Rounded,100
Baloo Bhaina 2,/Expressive/Calm,93
Baloo Bhaina 2,/Sans/Rounded,100
Baloo Chettan 2,/Expressive/Calm,93
Baloo Chettan 2,/Sans/Rounded,100
Baloo Da 2,/Expressive/Calm,93
Baloo Da 2,/Sans/Rounded,100
Baloo Paaji 2,/Expressive/Calm,93
Baloo Paaji 2,/Sans/Rounded,100
Baloo Tamma 2,/Expressive/Calm,93
Baloo Tamma 2,/Sans/Rounded,100
Baloo Tammudu 2,/Expressive/Calm,93
Baloo Tammudu 2,/Sans/Rounded,100
Baloo Thambi 2,/Expressive/Calm,93
Baloo Thambi 2,/Sans/Rounded,100
Balsamiq Sans,/Expressive/Calm,77
Balsamiq Sans,/Expressive/Childlike,56
